datetime, Max, Min, Average
09/01/2017 00, 22.7000007629, 22.5, 22.61190518878334, 
09/01/2017 01, 22.7000007629, 22.2000007629, 22.51166680654001, 
09/01/2017 02, 22.2000007629, 22, 22.06333357494332, 
09/01/2017 03, 22, 21.5, 21.81499986646833, 
09/01/2017 04, 21.7000007629, 21.3999996185, 21.60612285379999, 
09/01/2017 05, 21.7000007629, 21.5, 21.54666684468832, 
09/01/2017 06, 22.1000003815, 21.6000003815, 21.80666666031666, 
09/01/2017 07, 22.8999996185, 21.8999996185, 22.36666657131502, 
09/01/2017 08, 24.2000007629, 22.7000007629, 23.280000146224992, 
09/01/2017 09, 25.7999992371, 24.2000007629, 25.103333504998332, 
09/01/2017 10, 27.2999992371, 25.5, 26.075438817342103, 
09/01/2017 11, 26.2999992371, 25.2999992371, 25.92978704738086, 
09/01/2017 12, 24.5, 24, 24.15952414557619, 
09/01/2017 13, 27.3999996185, 24.2000007629, 25.923333390554998, 
09/01/2017 14, 28, 27.2000007629, 27.608333174375005, 
09/01/2017 15, 27.3999996185, 26.2999992371, 26.749999777468346, 
09/01/2017 16, 27.6000003815, 26.3999996185, 26.861666838329988, 
09/01/2017 17, 26.7000007629, 24.5, 25.863333384203337, 
09/01/2017 18, 24.5, 23.8999996185, 24.17833356857332, 
09/01/2017 19, 23.8999996185, 23.5, 23.734482798075852, 
09/01/2017 20, 23.2999992371, 23.1000003815, 23.139024781031708, 
09/01/2017 21, 23.2999992371, 22.1000003815, 22.786792503207547, 
09/01/2017 22, 21.8999996185, 21.2000007629, 21.561764997573533, 
09/01/2017 23, 21.2000007629, 20.5, 20.9068966569431, 
09/02/2017 00, 20.6000003815, 20, 20.453658545895127, 
09/02/2017 01, 20, 19.8999996185, 19.96166652042501, 
09/02/2017 02, 20.2000007629, 19.8999996185, 20.07166694004998, 
09/02/2017 03, 20.2000007629, 19.8999996185, 20.041666825599986, 
09/02/2017 04, 20.2000007629, 19.8999996185, 20.02833344142167, 
09/02/2017 05, 20.2000007629, 19.8999996185, 20.020000076286653, 
09/02/2017 06, 20.7000007629, 20.1000003815, 20.364102926007686, 
09/02/2017 07, 21.8999996185, 20.7000007629, 21.28166669210001, 
09/02/2017 08, 22.8999996185, 21.7999992371, 22.19999984593846, 
09/02/2017 09, 24.6000003815, 23, 24.157142866228565, 
09/02/2017 10, 26, 24.6000003815, 25.208333301546666, 
09/02/2017 11, 26.8999996185, 25.5, 26.17833325068501, 
09/02/2017 12, 26.2999992371, 25.1000003815, 25.525000063581672, 
09/02/2017 13, 27.6000003815, 26, 27.041666730251663, 
09/02/2017 14, 28.1000003815, 26.5, 27.06499996185335, 
09/02/2017 15, 26.5, 25, 25.61914902544468, 
09/02/2017 16, 25.2000007629, 25, 25.14727328906361, 
09/02/2017 17, 25.2000007629, 24.7000007629, 24.969230896394873, 
09/02/2017 18, 24.6000003815, 23.8999996185, 24.22083318233541, 
09/02/2017 19, 23.8999996185, 23.1000003815, 23.518333307898324, 
09/02/2017 20, 23.2000007629, 22.8999996185, 23.023333422323347, 
09/02/2017 21, 22.8999996185, 22.3999996185, 22.703333441414983, 
09/02/2017 22, 22.3999996185, 21.8999996185, 22.03166659671835, 
09/02/2017 23, 22, 21.8999996185, 21.931666405975005, 
09/03/2017 00, 22.1000003815, 21, 21.51333344776833, 
09/03/2017 01, 21, 20.7999992371, 20.834999370591685, 
09/03/2017 02, 20.7999992371, 20.2999992371, 20.439130078171747, 
09/03/2017 03, 20.6000003815, 20.2999992371, 20.439999771108333, 
09/03/2017 04, 20.3999996185, 20.2000007629, 20.301666100843352, 
09/03/2017 05, 20.2999992371, 19.7000007629, 20.10526345905, 
09/03/2017 06, 20.3999996185, 19.7000007629, 19.953333187100018, 
09/03/2017 07, 22.1000003815, 20.3999996185, 21.06666666666667, 
09/03/2017 08, 23.7999992371, 22.2000007629, 23.030000019074986, 
09/03/2017 09, 24.5, 23.7000007629, 24.054999796555023, 
09/03/2017 10, 26.7999992371, 24.5, 25.936666711175004, 
09/03/2017 11, 26.7999992371, 25.6000003815, 26.261666647598336, 
09/03/2017 12, 26, 24.6000003815, 25.406521963034788, 
09/03/2017 13, 26.7999992371, 25.8999996185, 26.311666774754993, 
09/03/2017 14, 27, 25.8999996185, 26.479310331665516, 
09/03/2017 15, 26.5, 25, 25.37333335877166, 
09/03/2017 16, 25.7000007629, 25, 25.23333337572, 
09/03/2017 17, 25.1000003815, 24.2999992371, 24.825000031791667, 
09/03/2017 18, 24.2000007629, 23.3999996185, 23.748333422339996, 
09/03/2017 19, 23.5, 23.2999992371, 23.448333136241686, 
09/03/2017 20, 23.2999992371, 22.7999992371, 23.028333346055025, 
09/03/2017 21, 22.8999996185, 22.3999996185, 22.593333180745002, 
09/03/2017 22, 22.3999996185, 22.2999992371, 22.35166610082336, 
09/03/2017 23, 22.2999992371, 21.8999996185, 22.090000076294004, 
09/04/2017 00, 22.1000003815, 21.7999992371, 21.939024157636588, 
09/04/2017 01, 21.7999992371, 21.7000007629, 21.718333816503314, 
09/04/2017 02, 21.7999992371, 21.7000007629, 21.74999999999999, 
09/04/2017 03, 21.7999992371, 21.2000007629, 21.564999548610025, 
09/04/2017 04, 21.2999992371, 21.2000007629, 21.225000381449995, 
09/04/2017 05, 21.2000007629, 21.1000003815, 21.116667111733314, 
09/04/2017 06, 21.7999992371, 21.2000007629, 21.418333466843322, 
09/04/2017 07, 22.7999992371, 21.7999992371, 22.07674385781395, 
09/04/2017 08, 23.8999996185, 22.7999992371, 23.511666456866685, 
09/04/2017 09, 25.7999992371, 23.7999992371, 24.28333320617333, 
09/04/2017 10, 26.2999992371, 25.5, 25.83137280333725, 
09/04/2017 11, 27.1000003815, 26.2999992371, 26.651063634995744, 
09/04/2017 12, 28.2000007629, 26.3999996185, 27.124000015255998, 
09/04/2017 13, 28.8999996185, 27.6000003815, 28.244999949133327, 
09/04/2017 14, 28.7000007629, 27.5, 28.198333358764994, 
09/04/2017 15, 28.5, 27.5, 27.93333336511665, 
09/04/2017 16, 28.2000007629, 25.7000007629, 26.500000063578334, 
09/04/2017 17, 26.2999992371, 25, 25.788888973662228, 
09/04/2017 18, 25, 24.2999992371, 24.57999989192168, 
09/04/2017 19, 24.2000007629, 23.3999996185, 23.73333339690833, 
09/04/2017 20, 23.5, 23, 23.218333435061655, 
09/04/2017 21, 23, 22.6000003815, 22.802222061153326, 
09/04/2017 22, 22.3999996185, 22, 22.166666891066654, 
09/04/2017 23, 22.1000003815, 21.5, 21.726666736606656, 
09/05/2017 00, 21.5, 21.2000007629, 21.324999777483317, 
09/05/2017 01, 21.2000007629, 20.6000003815, 20.895000139869985, 
09/05/2017 02, 20.7999992371, 20.6000003815, 20.636667156226643, 
09/05/2017 03, 20.7999992371, 20.2999992371, 20.614285332833326, 
09/05/2017 04, 20.7000007629, 20.2999992371, 20.53500013350997, 
09/05/2017 05, 20.7999992371, 20.6000003815, 20.696667130773328, 
09/05/2017 06, 21, 20.5, 20.683333487740484, 
09/05/2017 07, 22.3999996185, 21, 21.395121969829265, 
09/05/2017 08, 25.2000007629, 22.7999992371, 23.7980768130423, 
09/05/2017 09, 26.7999992371, 25.2000007629, 26.04000002542833, 
09/05/2017 10, 28.2000007629, 26.8999996185, 27.313333225250013, 
09/05/2017 11, 29.1000003815, 27.7000007629, 28.65333328246334, 
09/05/2017 12, 28.7999992371, 27.5, 27.876666609455008, 
09/05/2017 13, 29.7000007629, 27.8999996185, 28.615000152583328, 
09/05/2017 14, 28.2999992371, 25.5, 27.279999987290015, 
09/05/2017 15, 25, 21.1000003815, 21.567272949201808, 
09/05/2017 16, 22, 21.2000007629, 21.741666507718357, 
09/05/2017 17, 22.2000007629, 21.5, 21.859999847411675, 
09/05/2017 18, 22.2000007629, 21.3999996185, 21.844999949128344, 
09/05/2017 19, 23.3999996185, 21.8999996185, 22.396666622156662, 
09/05/2017 20, 23.3999996185, 22.8999996185, 23.199999809271667, 
09/05/2017 21, 23, 22.7999992371, 22.929999732960027, 
09/05/2017 22, 22.7999992371, 22.5, 22.706666469598325, 
09/05/2017 23, 22.5, 22.2999992371, 22.40166629153501, 
09/06/2017 00, 22.6000003815, 22.2999992371, 22.421666367855032, 
09/06/2017 01, 22.2999992371, 22, 22.1474581572949, 
09/06/2017 02, 22.2999992371, 22, 22.097619329188092, 
09/06/2017 03, 22.1000003815, 21.8999996185, 21.984999942775016, 
09/06/2017 04, 21.8999996185, 21.6000003815, 21.70333363214666, 
09/06/2017 05, 21.6000003815, 21.1000003815, 21.365000057231658, 
09/06/2017 06, 21.3999996185, 21.1000003815, 21.17000048954666, 
09/06/2017 07, 23.1000003815, 21.3999996185, 22.163333352409992, 
09/06/2017 08, 25.3999996185, 23.1000003815, 24.05833342869834, 
09/06/2017 09, 26, 25.2999992371, 25.670833031354164, 
09/06/2017 10, 27.7999992371, 26.7000007629, 27.1833333515, 
09/06/2017 11, 29.1000003815, 26.7000007629, 27.47999986013, 
09/06/2017 12, 29.5, 28.6000003815, 29.03454548228364, 
09/06/2017 13, 30, 27.6000003815, 28.636666647594996, 
09/06/2017 14, 29.1000003815, 28.5, 28.82833340962833, 
09/06/2017 15, 29.2000007629, 28.1000003815, 28.616666698456676, 
09/06/2017 16, 28.3999996185, 26.2999992371, 27.389999930060004, 
09/06/2017 17, 26.2999992371, 25.2000007629, 25.611666870108333, 
09/06/2017 18, 25.1000003815, 24.6000003815, 24.96166664759667, 
09/06/2017 19, 24.5, 23.8999996185, 23.99655151365517, 
09/06/2017 20, 23.8999996185, 23.6000003815, 23.82666619619334, 
09/06/2017 21, 23.6000003815, 23.6000003815, 23.600000381500006, 
09/06/2017 22, 23.2000007629, 22.8999996185, 23.08000030514, 
09/06/2017 23, 22.8999996185, 22.5, 22.70000011164877, 
09/07/2017 00, 22.5, 22, 22.258333428701665, 
09/07/2017 01, 22.1000003815, 21.7999992371, 21.959999847405015, 
09/07/2017 02, 21.8999996185, 21.7000007629, 21.79666601820001, 
09/07/2017 03, 21.7000007629, 21.3999996185, 21.486666615793347, 
09/07/2017 04, 21.6000003815, 21.5, 21.573333613099987, 
09/07/2017 05, 21.5, 21, 21.17166703541833, 
09/07/2017 06, 21.7000007629, 20.8999996185, 21.203333409626662, 
09/07/2017 07, 22.6000003815, 21.2999992371, 21.623999824513994, 
09/07/2017 08, 25.2999992371, 23.7999992371, 24.61388895247222, 
09/07/2017 09, 27.1000003815, 25.1000003815, 25.750000095368325, 
09/07/2017 10, 27.3999996185, 26, 26.648333517708327, 
09/07/2017 11, 27.8999996185, 26.6000003815, 27.243333244328344, 
09/07/2017 12, 28.7000007629, 27.7999992371, 28.159999974568343, 
09/07/2017 13, 28.7000007629, 27.8999996185, 28.325000095356657, 
09/07/2017 14, 28.5, 27.5, 28.049999809261674, 
09/07/2017 15, 28.1000003815, 26.2000007629, 27.105882308061766, 
09/07/2017 16, 26, 23.1000003815, 24.22121221368485, 
09/07/2017 17, 22.8999996185, 20.7999992371, 21.743589645774364, 
09/07/2017 18, 21.2000007629, 21, 21.136667188006655, 
09/07/2017 19, 21.3999996185, 21.1000003815, 21.163636710434552, 
09/07/2017 20, 22.1000003815, 21.3999996185, 21.935000006358322, 
09/07/2017 21, 22.1000003815, 21.7000007629, 21.899999745695013, 
09/07/2017 22, 21.8999996185, 21.7000007629, 21.768333148963347, 
09/07/2017 23, 21.7999992371, 21.6000003815, 21.67105313350526, 
09/08/2017 00, 21.6000003815, 21.2000007629, 21.290000104885003, 
09/08/2017 01, 21.2999992371, 21.2000007629, 21.265957203329787, 
09/08/2017 02, 21.3999996185, 21.2000007629, 21.273214101796412, 
09/08/2017 03, 21.2999992371, 21.2000007629, 21.22380992342381, 
09/08/2017 04, 21.2000007629, 20.7999992371, 20.995238077064293, 
09/08/2017 05, 20.7999992371, 20.6000003815, 20.660000578553316, 
09/08/2017 06, 21, 20.7000007629, 20.84999974566835, 
09/08/2017 07, 22.3999996185, 21, 21.673333422341667, 
09/08/2017 08, 23, 22.3999996185, 22.611666679379997, 
09/08/2017 09, 25, 22.8999996185, 23.614999961851666, 
09/08/2017 10, 26.6000003815, 24.3999996185, 25.651666609456665, 
09/08/2017 11, 28.1000003815, 26.6000003815, 27.34666678110833, 
09/08/2017 12, 28.2999992371, 26.7999992371, 27.241666507723334, 
09/08/2017 13, 28.6000003815, 28, 28.27222235997777, 
09/08/2017 14, 28.3999996185, 27.7000007629, 27.933333269750015, 
09/08/2017 15, 28.1000003815, 27.6000003815, 27.918333339696666, 
09/08/2017 16, 27.7999992371, 26.7000007629, 27.148333263399994, 
09/08/2017 17, 26.7999992371, 25.5, 26.050000031794998, 
09/08/2017 18, 25.3999996185, 24.7000007629, 25.08823548109999, 
09/08/2017 19, 24.7999992371, 24.6000003815, 24.68235318801764, 
09/08/2017 20, 24.6000003815, 23.8999996185, 24.304999987281676, 
09/08/2017 21, 23.8999996185, 23.3999996185, 23.600000039130773, 
09/08/2017 22, 23, 22.7999992371, 22.92978696619363, 
09/08/2017 23, 22.7999992371, 22.1000003815, 22.551666895553318, 
09/09/2017 00, 22.2000007629, 22, 22.079412067638238, 
09/09/2017 01, 22, 21.2000007629, 21.684999720253344, 
09/09/2017 02, 21.2000007629, 21, 21.090000343321663, 
09/09/2017 03, 21.1000003815, 20.7999992371, 20.896666272491675, 
09/09/2017 04, 20.8999996185, 20.6000003815, 20.79999999997999, 
09/09/2017 05, 20.7999992371, 20.7000007629, 20.748333358763315, 
09/09/2017 06, 21.2999992371, 20.7000007629, 21.036666870108313, 
09/09/2017 07, 23.2999992371, 21.2999992371, 22.29333327611167, 
09/09/2017 08, 24.6000003815, 23.3999996185, 24.114999834693332, 
09/09/2017 09, 26.2999992371, 24.5, 25.65333331426333, 
09/09/2017 10, 27.5, 25.5, 26.472727385434087, 
09/09/2017 11, 28.1000003815, 26.8999996185, 27.73333336512834, 
09/09/2017 12, 28.7000007629, 27.7000007629, 28.27666676838832, 
09/09/2017 13, 29, 28.1000003815, 28.498333422343332, 
09/09/2017 14, 29, 28.2999992371, 28.60666672388999, 
09/09/2017 15, 29.3999996185, 28.1000003815, 28.87833331425499, 
09/09/2017 16, 28.2999992371, 26.8999996185, 27.431666946403304, 
09/09/2017 17, 27.1000003815, 25.6000003815, 26.463888804122224, 
09/09/2017 18, 25.2999992371, 24.3999996185, 24.87118649887288, 
09/09/2017 19, 24.5, 24.1000003815, 24.227273189636367, 
09/09/2017 20, 24.2000007629, 23.8999996185, 24.078846454621154, 
09/09/2017 21, 24.1000003815, 23.5, 23.798275783148267, 
09/09/2017 22, 23.5, 23.1000003815, 23.298333485918324, 
09/09/2017 23, 23.1000003815, 22.7000007629, 22.964999930076697, 
09/10/2017 00, 22.7000007629, 22.2999992371, 22.481666596731703, 
09/10/2017 01, 22.2999992371, 22, 22.16166721977833, 
09/10/2017 02, 22, 21.7000007629, 21.891666444143343, 
09/10/2017 03, 21.7000007629, 21.3999996185, 21.54000015259167, 
09/10/2017 04, 21.6000003815, 21.2999992371, 21.44833313623833, 
09/10/2017 05, 21.5, 21.1000003815, 21.341666698453324, 
09/10/2017 06, 21.3999996185, 21, 21.153333663935012, 
09/10/2017 07, 23, 21.3999996185, 22.16666663487835, 
09/10/2017 08, 25.2999992371, 23.1000003815, 24.426666704811662, 
09/10/2017 09, 27.2000007629, 25.1000003815, 26.134999879205, 
09/10/2017 10, 28.3999996185, 26.3999996185, 27.183333365121666, 
09/10/2017 11, 28.5, 26.7000007629, 27.58166666030666, 
09/10/2017 12, 29.2999992371, 28.1000003815, 28.634999942781672, 
09/10/2017 13, 29.2999992371, 28.7000007629, 28.94333330790333, 
09/10/2017 14, 29.1000003815, 28.1000003815, 28.769999949145006, 
09/10/2017 15, 28.7000007629, 27.7000007629, 28.17166662215834, 
09/10/2017 16, 28.1000003815, 27.2000007629, 27.53888875466482, 
09/10/2017 17, 27.3999996185, 26, 26.365909099581813, 
09/10/2017 18, 26, 25.2999992371, 25.66999979019167, 
09/10/2017 19, 25.2999992371, 25, 25.175000254319983, 
09/10/2017 20, 25.2000007629, 24.6000003815, 24.868333530423307, 
09/10/2017 21, 24.7000007629, 24.1000003815, 24.415000057218336, 
09/10/2017 22, 24.1000003815, 23.7999992371, 23.87499952317501, 
09/10/2017 23, 24.2000007629, 23.1000003815, 23.823333326964995, 
09/11/2017 00, 23.1000003815, 22.2000007629, 22.517073096297562, 
09/11/2017 01, 22.5, 22.2000007629, 22.280000050848894, 
09/11/2017 02, 22.1000003815, 21.7000007629, 21.923999786368007, 
09/11/2017 03, 21.7999992371, 21.6000003815, 21.69767503957442, 
09/11/2017 04, 21.7999992371, 21.2000007629, 21.61833333970167, 
09/11/2017 05, 21.2000007629, 21, 21.101667054501664, 
09/11/2017 06, 21.3999996185, 21.1000003815, 21.22166681289669, 
09/11/2017 07, 23.1000003815, 21.3999996185, 21.93500010173, 
09/11/2017 08, 26, 23.1000003815, 24.144999917348336, 
09/11/2017 09, 26.3999996185, 24.7000007629, 25.393333371483322, 
09/11/2017 10, 27.3999996185, 26.2999992371, 26.869444317286117, 
09/11/2017 11, 28.5, 27.2999992371, 27.95333299637168, 
09/11/2017 12, 28.7999992371, 27.8999996185, 28.22833350499333, 
09/11/2017 13, 29, 27.8999996185, 28.500000048900002, 
09/11/2017 14, 28.7999992371, 28, 28.462000083926004, 
09/11/2017 15, 28.6000003815, 28, 28.233333269758337, 
09/11/2017 16, 28.2000007629, 27, 27.806666851051666, 
09/11/2017 17, 26.8999996185, 25.2999992371, 25.950000031791664, 
09/11/2017 18, 25.2999992371, 24.3999996185, 24.960000101724997, 
09/11/2017 19, 24.6000003815, 24.2999992371, 24.41999969481335, 
09/11/2017 20, 24.2999992371, 23.7999992371, 24.008333301538354, 
09/11/2017 21, 23.7999992371, 23.3999996185, 23.58648635244866, 
09/11/2017 22, 23.5, 23.1000003815, 23.34499975839666, 
09/11/2017 23, 23.1000003815, 22.8999996185, 23.008333365124997, 
09/12/2017 00, 23, 22.5, 22.73589750437435, 
09/12/2017 01, 22.7000007629, 22.5, 22.598333708458306, 
09/12/2017 02, 22.7000007629, 21.7999992371, 22.42333348593, 
09/12/2017 03, 21.7999992371, 20.5, 21.031666851053323, 
09/12/2017 04, 21, 19.3999996185, 20.236666615798335, 
09/12/2017 05, 19.6000003815, 19.2999992371, 19.463333193456677, 
09/12/2017 06, 19.7999992371, 19.2999992371, 19.537254819674505, 
09/12/2017 07, 20.1000003815, 19, 19.473333485925, 
09/12/2017 08, 24.7999992371, 20, 22.121666781106665, 
09/12/2017 09, 26.2000007629, 24.5, 24.994286019474284, 
09/12/2017 10, 27.7000007629, 26.6000003815, 27.17037024321482, 
09/12/2017 11, 27.6000003815, 26.7000007629, 27.172222296399994, 
09/12/2017 12, 28.1000003815, 27.1000003815, 27.631666819251667, 
09/12/2017 13, 28.7000007629, 27.7999992371, 28.171666812899993, 
09/12/2017 14, 28.8999996185, 27.7999992371, 28.195000012716672, 
09/12/2017 15, 29.2000007629, 28.1000003815, 28.776666641238325, 
09/12/2017 16, 28.3999996185, 27.1000003815, 27.738333257041674, 
09/12/2017 17, 27, 25.1000003815, 25.959999974573332, 
09/12/2017 18, 25, 24.2000007629, 24.653124809271876, 
09/12/2017 19, 24.2000007629, 24.1000003815, 24.176667340573296, 
09/12/2017 20, 24.1000003815, 23.7000007629, 23.98125016690624, 
09/12/2017 21, 23.7000007629, 23.2000007629, 23.342499923702498, 
09/12/2017 22, 23.2999992371, 23.1000003815, 23.258823245198037, 
09/12/2017 23, 23.2000007629, 22.8999996185, 22.992857115603577, 
09/13/2017 00, 23, 22.5, 22.610000006358337, 
09/13/2017 01, 22.5, 21.8999996185, 22.219999917335, 
09/13/2017 02, 22.1000003815, 20.5, 21.54500004450166, 
09/13/2017 03, 21.1000003815, 20.2000007629, 20.571666653948334, 
09/13/2017 04, 21.3999996185, 21.1000003815, 21.218333593996682, 
09/13/2017 05, 21.2000007629, 20.8999996185, 21.046666844680008, 
09/13/2017 06, 21.3999996185, 21.1000003815, 21.258182074783623, 
09/13/2017 07, 21.8999996185, 21.2000007629, 21.44074086789074, 
09/13/2017 08, 23, 21.8999996185, 22.606896564872415, 
09/13/2017 09, 25, 23, 24.214999898278332, 
09/13/2017 10, 26.6000003815, 24.7000007629, 25.303333314265004, 
09/13/2017 11, 27.7000007629, 26.3999996185, 26.91833327611166, 
09/13/2017 12, 27.8999996185, 27.1000003815, 27.44499979018834, 
09/13/2017 13, 28, 27, 27.536666806539994, 
09/13/2017 14, 27.2999992371, 26, 26.638333320621662, 
09/13/2017 15, 28.2000007629, 26.8999996185, 27.51333338419666, 
09/13/2017 16, 28.2999992371, 26.2999992371, 27.295555580971126, 
09/13/2017 17, 26.2999992371, 24.7000007629, 25.491666634885007, 
09/13/2017 18, 24.7000007629, 24, 24.281666851035002, 
09/13/2017 19, 24, 23.7000007629, 23.851666514064995, 
09/13/2017 20, 23.7999992371, 23.2000007629, 23.460000101721665, 
09/13/2017 21, 23.2000007629, 22.5, 22.906666819258326, 
09/13/2017 22, 22.5, 22.1000003815, 22.25333344142332, 
09/13/2017 23, 22.1000003815, 21.7000007629, 21.911666488651683, 
09/14/2017 00, 21.7000007629, 21.5, 21.550000190741653, 
09/14/2017 01, 21.8999996185, 21.6000003815, 21.759999783846645, 
09/14/2017 02, 21.6000003815, 21.2000007629, 21.39499988555334, 
09/14/2017 03, 21.3999996185, 21, 21.11666688919166, 
09/14/2017 04, 21.2000007629, 21, 21.15333391823165, 
09/14/2017 05, 21.1000003815, 20.8999996185, 20.97727264056819, 
09/14/2017 06, 21.2999992371, 20.7000007629, 21.036666488655005, 
09/14/2017 07, 22.5, 21.1000003815, 21.633333555853323, 
09/14/2017 08, 23.5, 22.5, 23.014999802911685, 
09/14/2017 09, 26, 23.3999996185, 24.868333117176686, 
09/14/2017 10, 27.8999996185, 26.1000003815, 26.938333257046672, 
09/14/2017 11, 29, 26.7999992371, 27.776666673025, 
09/14/2017 12, 28.7999992371, 27.6000003815, 28.348333485916662, 
09/14/2017 13, 28.7999992371, 28.2999992371, 28.54634140759512, 
09/14/2017 14, 29, 28.2000007629, 28.689830553728818, 
09/14/2017 15, 28.8999996185, 27.2000007629, 28.198333295183332, 
09/14/2017 16, 27.2000007629, 25.2999992371, 25.91000006993666, 
09/14/2017 17, 26.1000003815, 25, 25.6850000381575, 
09/14/2017 18, 25, 24.1000003815, 24.386667060849977, 
09/14/2017 19, 24.1000003815, 23.7000007629, 23.93499997456, 
09/14/2017 20, 23.7000007629, 23.2999992371, 23.496666653953348, 
09/14/2017 21, 23.2999992371, 22.7999992371, 22.99333324431502, 
09/14/2017 22, 22.7999992371, 22.1000003815, 22.501666673021646, 
09/14/2017 23, 22.1000003815, 21.7999992371, 21.92999973298002, 
09/15/2017 00, 21.8999996185, 21.2999992371, 21.682500028614996, 
09/15/2017 01, 21.3999996185, 21.1000003815, 21.230952580761898, 
09/15/2017 02, 21.1000003815, 20.5, 20.819298091689465, 
09/15/2017 03, 20.5, 20.1000003815, 20.33666661578666, 
09/15/2017 04, 20.3999996185, 20, 20.212068853708626, 
09/15/2017 05, 20.5, 20.2999992371, 20.374999523161684, 
09/15/2017 06, 21.1000003815, 20.3999996185, 20.698333390558336, 
09/15/2017 07, 22.7999992371, 21.1000003815, 21.66833324432667, 
09/15/2017 08, 23.5, 22.7999992371, 23.11833340326833, 
09/15/2017 09, 23.5, 22.8999996185, 23.217857224598223, 
09/15/2017 10, 25, 23.6000003815, 24.229411742258822, 
09/15/2017 11, 27.2000007629, 25, 26.183721010072087, 
09/15/2017 12, 29, 27.2000007629, 28.169767424111626, 
09/15/2017 13, 29.2000007629, 27.5, 28.085000038146664, 
09/15/2017 14, 28.1000003815, 27.5, 27.867857047478577, 
09/15/2017 15, 28.1000003815, 25.8999996185, 26.57826096078478, 
09/15/2017 16, 27.7000007629, 27.1000003815, 27.36499999363499, 
09/15/2017 17, 27.2000007629, 25, 26.063333320618327, 
09/15/2017 18, 25, 24.2999992371, 24.664999930075002, 
09/15/2017 19, 24.2999992371, 23.7000007629, 23.916666666666668, 
09/15/2017 20, 23.7000007629, 23, 23.430000178020002, 
09/15/2017 21, 23.1000003815, 22.7000007629, 22.92666676839165, 
09/15/2017 22, 22.7000007629, 22.1000003815, 22.305000273388316, 
09/15/2017 23, 22.2999992371, 21.6000003815, 22.062000350939993, 
09/16/2017 00, 21.5, 21.2999992371, 21.36046458400466, 
09/16/2017 01, 21.2999992371, 21.1000003815, 21.198333899156648, 
09/16/2017 02, 21.2000007629, 21, 21.08000030517666, 
09/16/2017 03, 21, 20.5, 20.695000298814993, 
09/16/2017 04, 20.5, 20.2000007629, 20.346666622149982, 
09/16/2017 05, 20.2000007629, 20, 20.118333784744983, 
09/16/2017 06, 20.8999996185, 20.1000003815, 20.366666952753334, 
