"gsid","index_no","station","district","year","month","days","rainfall_sum"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","01","0.1"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","02","0.1"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","03","1.5"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","04","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","05","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","06","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","07","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","08","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","09","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","10","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","11","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","12","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","13","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","14","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","15","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","16","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","17","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","18","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","19","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","20","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","21","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","22","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","23","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","24","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","25","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","26","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","27","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","28","11.6"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","29","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","30","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","01","31","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","01","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","02","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","03","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","04","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","05","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","06","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","07","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","08","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","09","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","10","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","11","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","12","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","13","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","14","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","15","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","16","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","17","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","18","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","19","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","20","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","21","0.5"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","22","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","23","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","24","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","25","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","26","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","27","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","02","28","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","01","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","02","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","03","1.5"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","04","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","05","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","06","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","07","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","08","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","09","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","10","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","11","35.7"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","12","65"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","13","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","14","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","15","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","16","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","17","0.1"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","18","2"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","19","4.9"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","20","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","21","0.4"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","22","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","23","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","24","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","25","15.5"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","26","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","27","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","28","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","29","2.7"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","30","7.2"
"366","1030","Kathmandu Airport","Kathmandu","2017","03","31","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","01","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","02","6.2"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","03","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","04","6.5"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","05","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","06","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","07","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","08","5"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","09","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","10","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","11","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","12","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","13","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","14","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","15","2.5"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","16","0.3"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","17","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","18","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","19","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","20","0.7"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","21","12.2"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","22","1.2"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","23","24"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","24","0.5"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","25","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","26","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","27","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","28","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","29","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","04","30","16.6"
"366","1030","Kathmandu Airport","Kathmandu","2017","05","01","3.5"
"366","1030","Kathmandu Airport","Kathmandu","2017","05","02","11.1"
"366","1030","Kathmandu Airport","Kathmandu","2017","05","03","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","05","04","0.5"
"366","1030","Kathmandu Airport","Kathmandu","2017","05","05","12.8"
"366","1030","Kathmandu Airport","Kathmandu","2017","05","06","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","05","07","0.1"
"366","1030","Kathmandu Airport","Kathmandu","2017","05","08","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","05","09","15.5"
"366","1030","Kathmandu Airport","Kathmandu","2017","05","10","2.2"
"366","1030","Kathmandu Airport","Kathmandu","2017","05","11","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","05","12","3.7"
"366","1030","Kathmandu Airport","Kathmandu","2017","05","13","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","05","14","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","05","15","3.6"
"366","1030","Kathmandu Airport","Kathmandu","2017","05","16","40.6"
"366","1030","Kathmandu Airport","Kathmandu","2017","05","17","0.6"
"366","1030","Kathmandu Airport","Kathmandu","2017","05","18","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","05","19","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","05","20","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","05","21","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","05","22","2.4"
"366","1030","Kathmandu Airport","Kathmandu","2017","05","23","0.5"
"366","1030","Kathmandu Airport","Kathmandu","2017","05","24","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","05","25","2.2"
"366","1030","Kathmandu Airport","Kathmandu","2017","05","26","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","05","27","23.4"
"366","1030","Kathmandu Airport","Kathmandu","2017","05","28","3.2"
"366","1030","Kathmandu Airport","Kathmandu","2017","05","29","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","05","30","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","05","31","1.5"
"366","1030","Kathmandu Airport","Kathmandu","2017","06","01","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","06","02","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","06","03","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","06","04","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","06","05","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","06","06","0.6"
"366","1030","Kathmandu Airport","Kathmandu","2017","06","07","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","06","08","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","06","09","0.7"
"366","1030","Kathmandu Airport","Kathmandu","2017","06","10","11.5"
"366","1030","Kathmandu Airport","Kathmandu","2017","06","11","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","06","12","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","06","13","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","06","14","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","06","15","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","06","16","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","06","17","3.6"
"366","1030","Kathmandu Airport","Kathmandu","2017","06","18","0.2"
"366","1030","Kathmandu Airport","Kathmandu","2017","06","19","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","06","20","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","06","21","17.5"
"366","1030","Kathmandu Airport","Kathmandu","2017","06","22","6.5"
"366","1030","Kathmandu Airport","Kathmandu","2017","06","23","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","06","24","12.5"
"366","1030","Kathmandu Airport","Kathmandu","2017","06","25","30.5"
"366","1030","Kathmandu Airport","Kathmandu","2017","06","26","23.4"
"366","1030","Kathmandu Airport","Kathmandu","2017","06","27","1.2"
"366","1030","Kathmandu Airport","Kathmandu","2017","06","28","5.4"
"366","1030","Kathmandu Airport","Kathmandu","2017","06","29","5.2"
"366","1030","Kathmandu Airport","Kathmandu","2017","06","30","1.8"
"366","1030","Kathmandu Airport","Kathmandu","2017","07","01","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","07","02","2.6"
"366","1030","Kathmandu Airport","Kathmandu","2017","07","03","4"
"366","1030","Kathmandu Airport","Kathmandu","2017","07","04","24.5"
"366","1030","Kathmandu Airport","Kathmandu","2017","07","05","1"
"366","1030","Kathmandu Airport","Kathmandu","2017","07","06","5.1"
"366","1030","Kathmandu Airport","Kathmandu","2017","07","07","2"
"366","1030","Kathmandu Airport","Kathmandu","2017","07","08","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","07","09","14.4"
"366","1030","Kathmandu Airport","Kathmandu","2017","07","10","19.6"
"366","1030","Kathmandu Airport","Kathmandu","2017","07","11","2.5"
"366","1030","Kathmandu Airport","Kathmandu","2017","07","12","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","07","13","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","07","14","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","07","15","16"
"366","1030","Kathmandu Airport","Kathmandu","2017","07","16","9.8"
"366","1030","Kathmandu Airport","Kathmandu","2017","07","17","13"
"366","1030","Kathmandu Airport","Kathmandu","2017","07","18","1.7"
"366","1030","Kathmandu Airport","Kathmandu","2017","07","19","3.6"
"366","1030","Kathmandu Airport","Kathmandu","2017","07","20","8.2"
"366","1030","Kathmandu Airport","Kathmandu","2017","07","21","7.5"
"366","1030","Kathmandu Airport","Kathmandu","2017","07","22","2.8"
"366","1030","Kathmandu Airport","Kathmandu","2017","07","23","5.1"
"366","1030","Kathmandu Airport","Kathmandu","2017","07","24","30.5"
"366","1030","Kathmandu Airport","Kathmandu","2017","07","25","4.8"
"366","1030","Kathmandu Airport","Kathmandu","2017","07","26","8"
"366","1030","Kathmandu Airport","Kathmandu","2017","07","27","0.4"
"366","1030","Kathmandu Airport","Kathmandu","2017","07","28","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","07","29","33.2"
"366","1030","Kathmandu Airport","Kathmandu","2017","07","30","61.5"
"366","1030","Kathmandu Airport","Kathmandu","2017","07","31","0.4"
"366","1030","Kathmandu Airport","Kathmandu","2017","08","01","1.5"
"366","1030","Kathmandu Airport","Kathmandu","2017","08","02","10"
"366","1030","Kathmandu Airport","Kathmandu","2017","08","03","38.5"
"366","1030","Kathmandu Airport","Kathmandu","2017","08","04","1"
"366","1030","Kathmandu Airport","Kathmandu","2017","08","05","6.5"
"366","1030","Kathmandu Airport","Kathmandu","2017","08","06","8"
"366","1030","Kathmandu Airport","Kathmandu","2017","08","07","9.5"
"366","1030","Kathmandu Airport","Kathmandu","2017","08","08","0.3"
"366","1030","Kathmandu Airport","Kathmandu","2017","08","09","10.5"
"366","1030","Kathmandu Airport","Kathmandu","2017","08","10","8.9"
"366","1030","Kathmandu Airport","Kathmandu","2017","08","11","19.2"
"366","1030","Kathmandu Airport","Kathmandu","2017","08","12","11"
"366","1030","Kathmandu Airport","Kathmandu","2017","08","13","47.1"
"366","1030","Kathmandu Airport","Kathmandu","2017","08","14","3.3"
"366","1030","Kathmandu Airport","Kathmandu","2017","08","15","0.6"
"366","1030","Kathmandu Airport","Kathmandu","2017","08","16","4.5"
"366","1030","Kathmandu Airport","Kathmandu","2017","08","17","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","08","18","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","08","19","2.5"
"366","1030","Kathmandu Airport","Kathmandu","2017","08","20","6.2"
"366","1030","Kathmandu Airport","Kathmandu","2017","08","21","14.8"
"366","1030","Kathmandu Airport","Kathmandu","2017","08","22","14.1"
"366","1030","Kathmandu Airport","Kathmandu","2017","08","23","42"
"366","1030","Kathmandu Airport","Kathmandu","2017","08","24","0.4"
"366","1030","Kathmandu Airport","Kathmandu","2017","08","25","3.1"
"366","1030","Kathmandu Airport","Kathmandu","2017","08","26","35.4"
"366","1030","Kathmandu Airport","Kathmandu","2017","08","27","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","08","28","6.7"
"366","1030","Kathmandu Airport","Kathmandu","2017","08","29","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","08","30","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","08","31","55"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","01","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","02","32.5"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","03","11"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","04","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","05","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","06","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","07","0.5"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","08","7.5"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","09","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","10","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","11","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","12","9.2"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","13","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","14","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","15","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","16","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","17","0.1"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","18","11.3"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","19","1.5"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","20","0.2"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","21","7.2"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","22","0.5"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","23","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","24","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","25","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","26","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","27","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","28","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","29","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","09","30","17"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","01","0.5"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","02","7.2"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","03","12.9"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","04","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","05","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","06","1.5"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","07","11"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","08","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","09","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","10","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","11","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","12","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","13","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","14","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","15","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","16","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","17","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","18","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","19","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","20","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","21","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","22","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","23","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","24","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","25","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","26","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","27","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","28","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","29","26.3"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","30","4"
"366","1030","Kathmandu Airport","Kathmandu","2017","10","31","0.5"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","01","1.5"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","02","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","03","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","04","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","05","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","06","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","07","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","08","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","09","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","10","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","11","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","12","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","13","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","14","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","15","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","16","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","17","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","18","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","19","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","20","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","21","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","22","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","23","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","24","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","25","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","26","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","27","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","28","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","29","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","30","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","01","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","02","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","03","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","04","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","05","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","06","0.1"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","07","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","08","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","09","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","10","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","11","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","12","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","13","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","14","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","15","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","16","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","17","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","18","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","19","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","20","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","21","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","22","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","23","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","24","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","25","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","26","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","27","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","28","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","29","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","30","0"
